Date,Open,High,Low,Close,Volume
2010-01-04,84.07807588374169,84.84126314956657,83.43460169303377,84.79637145996094,118944600
2010-01-05,84.7439809692715,85.05823415808409,84.43720592173675,85.02082061767578,111579900
2010-01-06,84.93850862575849,85.29017532695063,84.87117110859626,85.08067321777344,116074400
2010-01-07,84.92355739704493,85.54458566258876,84.68412556928773,85.43983459472656,131091100
2010-01-08,85.21535830233005,85.7615651506607,85.04326972181128,85.72415161132812,126402800
2010-01-11,86.10575737798148,86.14316521287482,85.47724524161757,85.84387969970703,106375700
2010-01-12,85.27522189729622,85.45479433625928,84.71405303059488,85.04327392578125,163333500
2010-01-13,85.26028891224807,86.0010362280222,84.82632248376774,85.76160430908203,161822000
2010-01-14,85.66431692900504,86.15066453802048,85.61194138394222,85.99353790283203,115718800
2010-01-15,85.84388883564327,85.92618836456947,84.69909936277179,85.0283203125,212283100
2010-01-19,85.01337952297884,86.14319586679264,84.99092796384718,86.0908203125,139172700
2010-01-20,85.50718521398944,85.63438214322741,84.53449576225056,85.21537780761719,216490200
2010-01-21,85.23782811155172,85.49970583500635,83.47201587839159,83.57676696777344,344859600
2010-01-22,83.20266636299894,83.60670878425232,81.62391023326165,81.71369934082031,345942400
2010-01-25,82.46191139546593,82.6115598837771,81.86333456773966,82.1326904296875,186937500
2010-01-26,81.81094376830545,82.65644193020402,81.58647962479233,81.78849792480469,211168800
2010-01-27,81.68378829249328,82.36467633616716,81.05528152157125,82.17761993408203,271863600
2010-01-28,82.4469444998714,82.49183618944313,80.7409917940765,81.23481750488281,316104000
2010-01-29,81.58650181582514,82.15515474270501,80.2247317574994,80.3519287109375,310677600
2010-02-01,80.92057358135591,81.60893954043578,80.43422595712318,81.60145568847656,187865000
2010-02-02,81.75108749321485,82.74622267735865,81.46675826188353,82.58909606933594,216327900
2010-02-03,82.21502778939404,82.66396772120505,81.93818796775341,82.17761993408203,172730700
2010-02-04,81.54161429082853,81.57902213925098,79.6261532044697,79.64112091064453,356715700
2010-02-05,79.73088274524953,79.97031460271101,78.24939991111465,79.80570983886719,493585800
2010-02-08,79.8655587798935,80.30701463030229,79.1697090935076,79.22956848144531,224166900
2010-02-09,80.157350073299,80.92054284507239,79.51387605337409,80.22469329833984,337820500
2010-02-10,80.09753376686405,80.50905432415972,79.39420004294935,80.0676040649414,240511500
2010-02-11,79.96284925231997,80.99539823246123,79.49894745680375,80.90560913085938,223591600
2010-02-12,80.05261048341862,80.88314089066262,79.69346559345128,80.83824920654297,304622100
2010-02-16,81.45180852658338,82.19254999258898,80.67365351129718,82.11024475097656,159317500
2010-02-17,82.50679912656365,82.61155591760517,82.11024064146352,82.49932098388672,168845100
2010-02-18,82.36463604649475,83.15775297665016,82.33470635178061,82.98566436767578,193708600
2010-02-19,82.76867837638405,83.47949007332221,82.57413821496195,83.15775299072266,222684900
2010-02-22,83.4645292547798,83.4869750990087,82.92580615926389,83.17272186279297,132346900
2010-02-23,82.9482748183571,83.2026687342629,81.94564973515213,82.16263580322266,207497000
2010-02-24,82.40954906550468,83.05302339715418,82.20004685678289,82.91834259033203,176350700
2010-02-25,81.73612891769412,82.86595070171542,81.51166475624676,82.80609130859375,259634700
2010-02-26,82.88092057887437,83.14280402156395,82.3870948099157,82.85847473144531,173589300
2010-03-01,83.20264821013885,83.80123071291916,83.1802023652731,83.71892547607422,147709700
2010-03-02,84.07808460592936,84.35492433189098,83.80123917146133,83.95088195800781,160992400
2010-03-03,84.16786235531855,84.52701301087643,83.8161955511385,84.02570343017578,150785000
2010-03-04,84.13794094317292,84.39982439063003,83.82368765643227,84.28010559082031,135770400
2010-03-05,84.82632013797634,85.55209401920357,84.62429607253118,85.48475646972656,176118800
2010-03-08,85.49223193947059,85.68676642455578,85.35006729317203,85.49971008300781,114631200
2010-03-09,85.24529490087514,86.03841176416392,85.20040321684147,85.64185333251953,154556700
2010-03-10,85.67926225053431,86.25539309572311,85.60444087834813,86.02344512939453,186088800
2010-03-11,85.82142996512752,86.40505042857066,85.55955228130998,86.38259887695312,160791100
2010-03-12,86.7567120728176,86.7716797739974,86.15065147066018,86.39008331298828,162074800
2010-03-15,86.24045561639863,86.47240364865269,85.74662414430193,86.41254425048828,146816800
2010-03-16,86.65195905344602,87.18319826329561,86.41252721649262,87.10089874267578,168673000
2010-03-17,87.36276319165684,87.90148617034093,87.1083636923874,87.61715698242188,177468100
2010-03-18,87.6246793229906,87.74439242167152,87.22063691149204,87.57230377197266,196509100
2010-03-19,87.12901306152344,88.12073738195929,86.79092170763928,87.12901306152344,226641100
2010-03-22,86.63315430155838,87.7526051603953,86.58056307364089,87.5948257446289,184477800
2010-03-23,87.72256415352102,88.28604412878153,87.43706396423293,88.2109146118164,182941600
2010-03-24,87.88032732775712,88.22592764999402,86.836011690646,87.78265380859375,196072600
2010-03-25,88.37616194562975,88.78186805355917,87.534702520602,87.63988494873047,223396300
2010-03-26,87.80519800637305,88.21841316704968,87.24171809743889,87.58731842041016,205808500
2010-03-29,88.03057528610812,88.30104606640892,87.6699514003826,88.14327239990234,134513500
2010-03-30,88.24846858854143,88.52645408159371,87.83525341629064,88.2033920288086,145772500
2010-03-31,87.86529493014702,88.29353941584793,87.60985346555981,87.90286254882812,161078700
2010-04-01,88.50392150878906,88.84200719261474,87.97800343926463,88.50392150878906,161215200
2010-04-05,88.84199838032762,89.28526648768727,88.59406584637358,89.22516632080078,105847600
2010-04-06,88.96971949576731,89.59330530248684,88.87205170864813,89.43553161621094,110384200
2010-04-07,89.2552288470178,89.67595872043607,88.51143116534884,88.92465209960938,184576300
2010-04-08,88.61661767590948,89.38295367403695,88.35366149302843,89.2326889038086,158704000
2010-04-09,89.42048261422048,89.85624168927389,89.25520002590177,89.81867980957031,133006500
2010-04-12,89.93138809141738,90.19434995885366,89.82620563724839,89.96144104003906,110279000
2010-04-13,89.87130191674397,90.1868493283732,89.40548973861412,90.0290756225586,125043600
2010-04-14,90.35964347691036,91.05084991455078,90.21689911875767,91.05084991455078,161609000
2010-04-15,90.90058990427272,91.33634913660029,90.8705369504555,91.12598419189453,144615300
2010-04-16,90.80291663225107,91.12597870130234,89.21765923900114,89.67595672607422,366786700
